CHRIS/ASX_UB1,"Eastern Australia Feed Barley Futures, Continuous Contract #1 (UB1) (Front Month)"
CHRIS/MGEX_IH1,"Minneapolis HRWI Hard Red Wheat Futures, Continuous Contract #1 (IH1) (Front Month)"
CHRIS/ASX_UB3,"Eastern Australia Feed Barley Futures, Continuous Contract #3 (UB3)"
CHRIS/ASX_UB2,"Eastern Australia Feed Barley Futures, Continuous Contract #2 (UB2)"
CHRIS/ASX_UB4,"Eastern Australia Feed Barley Futures, Continuous Contract #4 (UB4)"
CHRIS/ASX_UB5,"Eastern Australia Feed Barley Futures, Continuous Contract #5 (UB5)"
CHRIS/ASX_UB6,"Eastern Australia Feed Barley Futures, Continuous Contract #6 (UB6)"
CHRIS/ASX_US3,"Australian Sorghum Futures, Continuous Contract #3 (US3)"
CHRIS/ASX_US1,"Australian Sorghum Futures, Continuous Contract #1 (US1) (Front Month)"
CHRIS/ASX_US2,"Australian Sorghum Futures, Continuous Contract #2 (US2)"
CHRIS/ASX_US4,"Australian Sorghum Futures, Continuous Contract #4 (US4)"
CHRIS/ASX_US5,"Australian Sorghum Futures, Continuous Contract #5 (US5)"
CHRIS/ASX_WK1,"WA Wheat Futures, Continuous Contract #1 (WK1) (Front Month)"
CHRIS/ASX_WK2,"WA Wheat Futures, Continuous Contract #2 (WK2)"
CHRIS/ASX_US6,"Australian Sorghum Futures, Continuous Contract #6 (US6)"
CHRIS/ASX_WK3,"WA Wheat Futures, Continuous Contract #3 (WK3)"
CHRIS/ASX_WK5,"WA Wheat Futures, Continuous Contract #5 (WK5)"
CHRIS/ASX_WK4,"WA Wheat Futures, Continuous Contract #4 (WK4)"
CHRIS/ASX_VC1,"Eastern Australia Canola Futures, Continuous Contract #1 (VC1) (Front Month)"
CHRIS/ASX_VW1,"NSW Wheat Futures, Continuous Contract #1 (VW1) (Front Month)"
CHRIS/ASX_VW2,"NSW Wheat Futures, Continuous Contract #2 (VW2)"
CHRIS/ASX_VW3,"NSW Wheat Futures, Continuous Contract #3 (VW3)"
CHRIS/ASX_VW4,"NSW Wheat Futures, Continuous Contract #4 (VW4)"
